Registered Qualifying Data Centers										
Data Center	Effective Date	Owner Name	Owner Registration #	Occupant Name	Occupant Registration #	Operator Name	Operator Registration #	Exemption End Date	Location	Notes
Fermi Data Center 1	09/05/2025	Fermi Inc. Fermi Equipment Holdco, LLC Firebird Equipment Holdco, LLC Fermi Campus 1, LLC Fermi Warehouse, LLC Fermi High Voltage Warehouse, LLC Fermi Turbine Warehouse, LLC	LD669160-OW1 LD669160-OW2 LD669160-OW3 LD669160-OW4 LD669160-OW5 LD669160-OW6 LD669160-OW7	Fermi Equipment Holdco, LLC	LD669160-OC1	Fermi Equipment Holdco, LLC	LD669160-OP1		US Highway 60 & FM 2373 Panhandle, Carson County, TX 79068	Texas Foreign Limited-Liability Company
Giga Texas Datacenter	04/10/2024	Tesla, Inc.	LD369821-OW1	Tesla, Inc.	LD369821-OC1	Tesla, Inc.	LD369821-OP1		1 Tesla Rd Austin, Travis County, TX 78725	
HEL02 DC	11/07/2025	Galaxy Helios II LLC	LD104412-OW1	Coreweave, Inc.	LD104412-OC1	Coreweave, Inc. Galaxy Helios II LLC	LD104412-OP1 LD104412-OP2		984 Co Rd 112 Dickens, Dickens County, TX 79220	
Hockley Data Center	08/20/2024	SF HOUH LLC	LD470569-OW1	SF HOUH LLC	LD470569-OC1	SF HOUH LLC	LD470569-OP1		28401 Betka Road Hockley, Harris County, TX 77447	
Horizon	07/24/2025	IE US Development Holdings 3 Inc.	LD039871-OW1	IE US HARDWARE 3 INC.	LD039871-OC2	IE US Development Holdings 3 Inc.	LD039871-OP1		620 FM 1033 Childress, Childress County, TX 79201	Foreign For-Profit Corporation
Hutto Data Center Campus LLC	03/10/2025	Hutto Data Center Campus LLC	LD370879-OW1	Design LLC	LD370879-OC1	Google LLC	LD370879-OP1		3399 County Road 132 Hutto, Williamson County, TX 78634	
Lancium Abilene Clean Campus	05/26/2022	Lancium LLC Abilene DC 1, LLC	LD565448-OW1 LD565448-OW2	Oracle America, Inc.	LD565448-OC2	Lancium LLC Lancium Abilene, LLC	LD565448-OP1 LD565448-OP2		5502 Spinks Road Abilene, Taylor County, TX 79601	• Lancium owns about 1,045 acres on the northwest side of Abilene, south of Old Anson Road and north of Spinks Road, he said. That area is west of U.S. Highway 277 and north of Interstate 20. • The property has been annexed into the city of Abilene. Among its first steps is modifying an existing AEP substation to take available energy out of that location and put it into a substation being built specifically for the project. That substation will have a 200 megawatt capacity, equal to enough energy to run 40,000 houses. • Backed by support from the Abilene Development Corporation, the city of Abilene and Taylor County, the project aims to build its clean computing campus here in a number of buildings, each measuring 520 feet in length, 42 feet in width and 35 feet in height. • "What we're offering is the ability to quicky ramp down and then allow those other sources to supply other homes and businesses across the country," Schoenert said. "How it all works together is something that falls to ERCOT and the Public Utility Commission on how we all work together, but a big part of it, I think, adding more flexibility to the system, is what they're looking for."
Lancium Abilene Clean Campus II									West TX	This facility is part of Crusoe Energy's Lancium Clean Compute Campus in West Texas.
Lancium Abilene Clean Campus III	01/28/2025	Abilene DC 3 LLC	LD090472-OW3	Oracle America, Inc.	LD090472-OC2	Lancium LLC Lancium Abilene, LLC	LD090472-OP2 LD090472-OP3		5502 Spinks Road Abilene, Taylor County, TX 79601	Construction is underway for the second phase of Crusoe's data center complex at the Lancium Clean Campus in Abilene, Texas.
Lancium Abilene Clean Campus IV	03/16/2025	Abilene DC 4, LLC	LD382318-OW2	Oracle America, Inc.	LD382318-OC2	Lancium LLC Lancium Abilene, LLC	LD382318-OP3 LD382318-OP2		5502 Spinks Road Abilene, Taylor County, TX 79601	This building will be part of the second phase of Crusoe's data center complex currently under construction at the Lancium Clean Campus in Abilene, Texas.
Lancium Abilene Clean Campus V	03/16/2025	Abilene DC 5 LLC	LD579814-OW2	Oracle America, Inc.	LD579814-OC2	Lancium Abilene, LLC Lancium LLC	LD579814-OP3 LD579814-OP4		5502 Spinks Road Abilene, Taylor County, TX 79601	This building will be part of the second phase of Crusoe's data center complex currently under construction at the Lancium Clean Campus in Abilene, Texas.
Lancium Abilene Clean Campus VI	03/16/2025	Abilene DC 6 LLC	LD522306-OW2	Oracle America, Inc.	LD522306-OC2	Lancium Abilene, LLC Lancium LLC	LD522306-OP3 LD522306-OP4		5502 Spinks Road Abilene, Taylor County, TX 79601	This building will be part of the second phase of Crusoe's data center complex currently under construction at the Lancium Clean Campus in Abilene, Texas.
Lancium Abilene Clean Campus VII	03/16/2025	Abilene DC 7 LLC	LD760309-OW2	Oracle America, Inc.	LD760309-OC2	Lancium Abilene, LLC Lancium LLC	LD760309-OP3 LD760309-OP4		5502 Spinks Road Abilene, Taylor County, TX 79601	This building will be part of the second phase of Crusoe's data center complex currently under construction at the Lancium Clean Campus in Abilene, Texas.
Lancium Abilene Clean Campus VIII	03/16/2025	Abilene DC 8 LLC	LD655815-OW2	Oracle America, Inc.	LD655815-OC2	Lancium Abilene, LLC Lancium LLC	LD655815-OP3 LD655815-OP4		5502 Spinks Road Abilene, Taylor County, TX 79601	This building will be part of the second phase of Crusoe's data center complex currently under construction at the Lancium Clean Campus in Abilene, Texas.
Lancium Clean Campus - Childress 1	03/25/2025	Lancium LLC	LD053115-OW1	Lancium LLC	LD053115-OC1	Lancium LLC	LD053115-OP1		US Hwy 287 Childress, Childress County, TX 79201	•  Lancium successfully establishes the "Lancium Childress Reinvestment zone" with a total of 3,719.81 acres. Previously, the reinvestment zone was stretching much further south, and not as far west as currently anticipated.  •  It appears that the county aims to keep the data center zones near highway 287, rather than more south, as originally intended. •  Lancium will become a direct neighbour of @IREN_Ltd, who is at the other side of the 287 with their Iris Energy Reinvestment zone and II. 
Lancium Clean Campus - Turkey 1	01/25/2026	Lancium Turkey LLC	LD264642-OW1	Lancium Turkey LLC	LD264642-OC1	Lancium Turkey LLC	LD264642-OP1			
Lincoln Rackhouse	03/21/2023			Coreweave, Inc.	LD321266-OC1	Coreweave, Inc. Coreweave Compute Acquisition Co. II, LLC	LD321266-OP1 LD321266-OP2		1000 Coit Rd Plano, Collin County, TX 75075	
Microsoft Corporation (SAT09 - SAT13)	12/15/2015	Microsoft Corporation	LD727073-OW1	Microsoft Corporation	LD727073-OC1	Microsoft Corporation	LD727073-OP1	12/15/2035	15434 Lambda Drive San Antonio, Bexar County, TX 78245	
Microsoft Corporation (SAT 15-17)	04/04/2023	Microsoft Corporation	LD371323-OW1	Microsoft Corporation	LD371323-OC1	Microsoft Corporation	LD371323-OP1		3555 Westover Link 78251 San Antonio, Bexar County, TX 78251	
Microsoft Corporation (SAT 80-85)	03/31/2022	Microsoft Corporation	LD384204-OW1	Microsoft Corporation	LD384204-OC1	Microsoft Corporation	LD384204-OP1		3555 Westover Link 78251 San Antonio, Bexar County, TX 78251	
Microsoft Corporation (SAT 89-90)	04/04/2024	Microsoft Corporation	LD772702-OW1	Microsoft Corporation	LD772702-OC1	Microsoft Corporation	LD772702-OP1		3555 Westover Link 78251 San Antonio, Bexar County, TX 78251	
Milam County Data Center	12/09/2025	Milam County DC, LLC	LD739472-OW1	Milam County DC, LLC	LD739472-OC1	Milam County DC, LLC	LD739472-OP1		1899 County Road 133 Rosebud, Milam County, TX 76519	• Milam County DC, LLC” is part of an incentive agreement approved for a 1.2 GW hyperscale AI data center that is part of the "Stargate" project, a massive AI infrastructure initiative backed by OpenAI, SoftBank Group Corp., and Oracle. • The site is designed to power next-generation AI, including ChatGPT, using renewable energy and battery storage developed by SB Energy.
